datetime,id,name,geoid,geoname,value
30-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.8825
01-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.71625
02-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.94
03-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.3225
04-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.22625
05-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.775
06-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.04041667
07-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.91541667
08-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,39.5575
09-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,38.82375
10-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.61208333
11-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.90333333
12-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.12041667
13-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.86791667
14-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.06541667
15-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.79958333
16-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.62166667
17-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.7
18-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.20916667
19-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,36.28791667
20-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.95333333
21-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.44666667
22-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.58291667
23-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.32833333
24-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.07791667
25-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.38541667
26-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.47791667
27-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.12125
28-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.88458333
29-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.54416667
30-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.33083333
31-07-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.42666667
01-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.66958333
02-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.2075
03-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.94166667
04-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.93583333
05-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.50416667
06-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.24958333
07-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,50.66375
08-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.3425
09-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.64208333
10-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,50.79875
11-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.4975
12-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.49875
13-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.47291667
14-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.25916667
15-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.73458333
16-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.2875
17-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.39833333
18-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.38458333
19-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.16666667
20-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.64625
21-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.1325
22-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.13625
23-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.8225
24-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.41291667
25-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.74583333
26-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.34958333
27-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,57.02458333
28-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,57.23375
29-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.68958333
30-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.95833333
31-08-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,54.55625
01-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.61416667
02-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.14583333
03-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,67.25208333
04-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,63.12416667
05-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.45083333
06-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.87
07-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.22458333
08-09-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,65.39041667
